,person_id,t_grade,fl_grade_0,fl_grade_208,fl_grade_219,fl_grade_232,fl_grade_250,fl_grade_261,fl_grade_271,fl_grade_285,fl_grade_298,predictResult_1,predictResult_ex0_1,predictResult_2,predictResult_ex0_2,predictResult_3,predictResult_ex0_3,predictResult_4,predictResult_ex0_4,predictResult_5,predictResult_ex0_5,predictResult_6,predictResult_ex0_6,predictResult_7,predictResult_ex0_7,predictResult_8,predictResult_ex0_8,predictResult_9,predictResult_ex0_9,predictResult_10,predictResult_ex0_10
78,0M07001F1416,C_271,0,0,0,0,0,1,0,0,0,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271,C_285,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_219
79,0M07001F14161,C_271,0,0,0,0,1,0,0,0,0,C_0,C_271,C_0,C_271,C_0,C_271,C_0,C_271,C_285,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_285,C_271,C_0,C_271
80,0M07001F141611,C_261,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
81,0M07001F141612,C_261,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
82,0W07001F141613,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
83,0W07001F141614,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
84,0M07001F14162,C_271,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
85,0M07001F14163,C_271,0,0,0,1,0,0,0,0,0,C_0,C_271,C_0,C_271,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_285,C_271,C_0,C_219
86,0M07001F141631,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
87,0W07001F141632,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
88,0W07001F14164,C_0,0,0,0,0,0,0,1,0,0,C_0,C_219,C_285,C_271,C_0,C_219,C_0,C_271,C_285,C_271,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_219
89,0W07001F14165,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
90,0W07001F14166,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
91,0M07001F14167,C_232,0,0,1,0,0,0,0,0,0,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_219
